date,category,menu,quantity,total price,payment,mode
2024-05-25,Shake,Mango Graham Shake (L),1,105,Cash,Physical
2024-05-25,Shake,Special Mango Shake With Boba (M),1,90,Cash,Physical
2024-05-25,Sandwich,Burger With Ham,1,35,Cash,Delivered
2024-05-25,Sandwich,Ham Sandwich,2,54,Gcash,Physical
2024-05-25,Shake,Special Mango Shake With Boba (M),5,450,Gcash,Physical
2024-05-25,Sandwich,Cheeseburger + Coleslaw,1,32,Cash,Physical
2024-05-25,Shake,Special Mango Shake With Boba (S),1,70,Gcash,Physical
2024-05-25,Shake,Mango Graham Shake (M),5,425,Cash,Physical
2024-05-25,Sandwich,Cheeseburger With Ham,1,40,Cash,Physical
2024-05-25,Shake,Smoothie (S),1,60,Cash,Physical
2024-05-25,Shake,Mango Shake (M),1,70,Cash,Physical
2024-05-25,Shake,Avocado Shake (L),4,360,Cash,Physical
2024-05-25,Shake,Smoothie (M),1,80,Cash,Physical
2024-05-25,Others,French Fries,1,25,Cash,Physical
2024-05-25,Shake,Mango Shake (S),1,50,Cash,Physical
2024-05-25,Shake,Avocado Shake (L),1,90,Cash,Physical
2024-05-25,Shake,Special Mango Shake With Boba (L),2,220,Cash,Physical
2024-05-25,Shake,Mango Shake (S),1,50,Cash,Physical
2024-05-25,Sandwich,Ham Sandwich With Egg And Cheese,1,45,Cash,Physical
2024-05-25,Shake,Mango Graham Shake (L),3,315,Cash,Physical
2024-05-25,Shake,Mango Graham Shake (L),1,105,Cash,Physical
2024-05-25,Shake,Mango Shake (S),1,50,Cash,Physical
2024-05-25,Shake,Smoothie (L),1,100,Cash,Physical
2024-05-25,Shake,Mango Shake (S),1,50,Gcash,Physical
2024-05-25,Sandwich,Burger,3,60,Cash,Physical
2024-05-25,Sandwich,Cheeseburger With Egg,1,42,Cash,Physical
2024-05-25,Shake,Avocado Shake (L),1,90,Cash,Physical
2024-05-25,Shake,Smoothie (M),2,160,Cash,Physical
2024-05-25,Sandwich,Burger,1,20,Cash,Delivered
2024-05-25,Shake,Special Mango Shake With Boba (M),1,90,Cash,Physical
2024-05-25,Sandwich,Ham Sandwich With Cheese,1,32,Cash,Physical
2024-05-25,Shake,Mango Shake (S),1,50,Cash,Physical
2024-05-26,Sandwich,Cheeseburger,2,54,Cash,Physical
2024-05-26,Shake,Smoothie (L),1,100,Cash,Physical
2024-05-26,Sandwich,Ham Sandwich,2,54,Cash,Physical
2024-05-26,Shake,Smoothie (M),1,80,Cash,Physical
2024-05-26,Shake,Mango Graham Shake (S),1,65,Cash,Physical
2024-05-26,Shake,Mango Graham Shake (M),1,85,Cash,Physical
2024-05-26,Sandwich,Ham Sandwich,3,81,Cash,Physical
2024-05-26,Shake,Special Mango Shake With Boba (M),2,180,Cash,Physical
2024-05-26,Sandwich,Burger + Coleslaw,3,75,Gcash,Delivered
2024-05-26,Others,French Fries,1,25,Cash,Physical
2024-05-26,Sandwich,Egg Sandwich,3,75,Cash,Physical
2024-05-26,Shake,Special Mango Shake With Boba (S),1,70,Cash,Physical
2024-05-26,Sandwich,Cheeseburger With Ham,1,40,Cash,Physical
2024-05-26,Shake,Mango Shake (S),1,50,Cash,Physical
2024-05-26,Shake,Special Mango Shake With Boba (L),1,110,Cash,Physical
2024-05-26,Sandwich,Ham Sandwich + Coleslaw,5,160,Cash,Physical
2024-05-26,Shake,Mango Graham Shake (M),1,85,Cash,Physical
2024-05-26,Shake,Special Mango Shake With Boba (L),1,110,Cash,Physical
2024-05-26,Sandwich,Egg Sandwich With Cheese + Coleslaw,5,185,Cash,Physical
2024-05-26,Shake,Mango Graham Shake (L),4,420,Cash,Physical
2024-05-26,Shake,Mango Graham Shake (S),1,65,Cash,Delivered
2024-05-26,Shake,Smoothie (M),2,160,Cash,Physical
2024-05-26,Sandwich,Cheeseburger With Ham,1,40,Cash,Physical
2024-05-26,Others,Strawberry And Cream Cheese (M),1,85,Gcash,Physical
2024-05-26,Shake,Avocado Shake (M),1,70,Cash,Physical
2024-05-26,Shake,Special Mango Shake With Boba (S),1,70,Gcash,Delivered
2024-05-26,Shake,Mango Shake (L),1,90,Cash,Physical
2024-05-26,Others,Strawberry And Cream Cheese (L),2,210,Cash,Physical
2024-05-26,Shake,Smoothie (M),5,400,Cash,Physical
2024-05-26,Sandwich,Cheeseburger With Egg,1,42,Cash,Physical
2024-05-26,Shake,Special Mango Shake With Boba (S),2,140,Gcash,Physical
2024-05-26,Sandwich,Cheeseburger With Egg,1,42,Cash,Physical
2024-05-26,Sandwich,Cheeseburger,1,27,Cash,Physical
2024-05-26,Others,Strawberry And Cream Cheese (L),2,210,Cash,Physical
2024-05-26,Others,Popcorn,1,10,Cash,Physical
2024-05-26,Shake,Mango Graham Shake (L),1,105,Cash,Physical
2024-05-26,Shake,Mango Shake (L),1,90,Cash,Physical
2024-05-26,Sandwich,Cheeseburger With Ham,1,40,Cash,Physical
2024-05-26,Shake,Mango Shake (L),1,90,Cash,Physical
2024-05-26,Shake,Smoothie (S),5,300,Cash,Physical
2024-05-26,Shake,Mango Graham Shake (L),1,105,Cash,Physical
2024-05-26,Sandwich,Egg Sandwich,1,25,Cash,Physical
2024-05-27,Sandwich,Cheeseburger,1,27,Cash,Physical
2024-05-27,Shake,Avocado Shake (M),1,70,Cash,Physical
2024-05-27,Shake,Special Mango Shake With Boba (M),5,450,Cash,Physical
2024-05-27,Shake,Smoothie (M),1,80,Cash,Physical
2024-05-27,Sandwich,Ham Sandwich With Egg And Cheese,3,135,Cash,Physical
2024-05-27,Shake,Mango Graham Shake (M),1,85,Cash,Physical
2024-05-27,Shake,Avocado Shake (L),5,450,Cash,Physical
2024-05-27,Shake,Mango Graham Shake (S),3,195,Cash,Physical
2024-05-27,Shake,Mango Graham Shake (S),2,130,Cash,Physical
2024-05-27,Sandwich,Cheeseburger With Ham,1,40,Cash,Physical
2024-05-27,Shake,Smoothie (L),4,400,Cash,Physical
2024-05-27,Sandwich,Cheeseburger,1,27,Cash,Physical
2024-05-27,Sandwich,Ham Sandwich With Cheese,1,32,Cash,Physical
2024-05-27,Sandwich,Burger With Ham,1,35,Gcash,Physical
2024-05-27,Shake,Special Mango Shake With Boba (L),1,110,Cash,Physical
2024-05-27,Sandwich,Burger,1,20,Gcash,Physical
2024-05-27,Shake,Avocado Shake (L),1,90,Cash,Physical
2024-05-27,Shake,Mango Shake (L),1,90,Cash,Physical
2024-05-27,Sandwich,Ham Sandwich With Egg And Cheese + Coleslaw,1,50,Cash,Delivered
2024-05-27,Shake,Mango Graham Shake (L),1,105,Gcash,Physical
2024-05-27,Shake,Smoothie (M),1,80,Cash,Physical
2024-05-27,Sandwich,Cheeseburger With Egg,1,42,Cash,Physical
2024-05-27,Shake,Special Mango Shake With Boba (S),1,70,Cash,Physical
2024-05-27,Sandwich,Ham Sandwich With Cheese,1,32,Cash,Physical
2024-05-27,Shake,Smoothie (M),3,240,Gcash,Physical
2024-05-27,Shake,Mango Graham Shake (L),1,105,Cash,Physical
2024-05-28,Shake,Mango Graham Shake (M),1,85,Cash,Physical
2024-05-28,Shake,Avocado Shake (S),1,50,Cash,Physical
2024-05-28,Shake,Smoothie (M),1,80,Cash,Physical
2024-05-28,Shake,Smoothie (L),1,100,Cash,Physical
2024-05-28,Shake,Mango Graham Shake (M),4,340,Cash,Physical
2024-05-28,Sandwich,Ham Sandwich With Cheese,1,32,Cash,Physical
2024-05-28,Shake,Avocado Shake (L),5,450,Cash,Physical
2024-05-28,Shake,Mango Graham Shake (L),1,105,Cash,Physical
2024-05-28,Shake,Special Mango Shake With Boba (M),4,360,Cash,Physical
2024-05-28,Shake,Mango Shake (S),1,50,Cash,Physical
2024-05-28,Shake,Special Mango Shake With Boba (M),3,270,Cash,Physical
2024-05-28,Others,Strawberry And Cream Cheese (L),1,105,Cash,Physical
2024-05-28,Shake,Smoothie (L),4,400,Gcash,Physical
2024-05-28,Sandwich,Cheeseburger + Coleslaw,1,32,Cash,Physical
2024-05-28,Shake,Mango Graham Shake (L),1,105,Gcash,Physical
2024-05-28,Sandwich,Ham Sandwich With Cheese,2,64,Cash,Physical
2024-05-28,Shake,Mango Shake (M),1,70,Gcash,Physical
2024-05-28,Shake,Avocado Shake (M),5,350,Cash,Physical
2024-05-28,Others,Popcorn,1,10,Gcash,Physical
2024-05-28,Sandwich,Ham Sandwich With Egg And Cheese,1,45,Cash,Physical
2024-05-28,Sandwich,Cheeseburger With Ham,1,40,Cash,Physical
2024-05-28,Sandwich,Burger,1,20,Cash,Physical
2024-05-28,Others,Siomai,1,10,Cash,Physical
2024-05-28,Sandwich,Cheeseburger With Ham + Coleslaw,2,90,Cash,Physical
2024-05-28,Others,French Fries,2,50,Cash,Physical
2024-05-28,Shake,Avocado Shake (L),2,180,Cash,Physical
2024-05-28,Sandwich,Ham Sandwich With Cheese,1,32,Cash,Physical
2024-05-28,Shake,Avocado Shake (S),3,150,Gcash,Physical
2024-05-28,Sandwich,Ham Sandwich With Egg,1,40,Cash,Physical
2024-05-28,Sandwich,Cheeseburger With Ham + Coleslaw,1,45,Cash,Physical
2024-05-28,Sandwich,Ham Sandwich With Egg,1,40,Cash,Physical
2024-05-29,Sandwich,Cheeseburger,1,27,Gcash,Physical
2024-05-29,Shake,Avocado Shake (L),1,90,Cash,Physical
2024-05-29,Shake,Smoothie (S),1,60,Cash,Physical
2024-05-29,Shake,Mango Graham Shake (L),1,105,Gcash,Physical
2024-05-29,Sandwich,Burger,1,20,Cash,Delivered
2024-05-29,Sandwich,Cheeseburger With Egg + Coleslaw,1,47,Cash,Physical
2024-05-29,Shake,Mango Graham Shake (S),1,65,Cash,Delivered
2024-05-29,Shake,Mango Shake (L),1,90,Gcash,Physical
2024-05-29,Sandwich,Ham Sandwich With Cheese,3,96,Cash,Physical
2024-05-29,Shake,Special Mango Shake With Boba (M),1,90,Cash,Physical
2024-05-29,Shake,Smoothie (L),1,100,Cash,Physical
2024-05-29,Sandwich,Burger,1,20,Cash,Physical
2024-05-29,Shake,Smoothie (L),1,100,Cash,Delivered
2024-05-29,Shake,Smoothie (L),1,100,Cash,Physical
2024-05-29,Sandwich,Ham Sandwich With Egg And Cheese,1,45,Cash,Physical
2024-05-29,Others,Popcorn,1,10,Cash,Physical
2024-05-29,Others,Strawberry And Cream Cheese (M),1,85,Cash,Physical
2024-05-29,Sandwich,Burger With Ham,5,175,Cash,Physical
2024-05-29,Shake,Avocado Shake (M),1,70,Cash,Physical
2024-05-29,Sandwich,Burger,1,20,Cash,Physical
2024-05-29,Shake,Mango Shake (L),1,90,Cash,Physical
2024-05-29,Others,Popcorn,1,10,Cash,Physical
2024-05-29,Shake,Mango Graham Shake (L),1,105,Cash,Physical
2024-05-29,Shake,Special Mango Shake With Boba (S),1,70,Cash,Physical
2024-05-29,Sandwich,Egg Sandwich,1,25,Gcash,Physical
2024-05-29,Others,Strawberry And Cream Cheese (L),2,210,Cash,Physical
2024-05-29,Shake,Smoothie (S),1,60,Gcash,Physical
2024-05-29,Sandwich,Ham Sandwich + Coleslaw,5,160,Gcash,Physical
2024-05-29,Sandwich,Cheeseburger With Ham,5,200,Cash,Physical
2024-05-29,Shake,Mango Shake (M),1,70,Gcash,Physical
2024-05-29,Shake,Mango Graham Shake (M),2,170,Cash,Physical
2024-05-29,Sandwich,Ham Sandwich With Cheese,1,32,Cash,Delivered
2024-05-29,Sandwich,Egg Sandwich,1,25,Cash,Physical
2024-05-29,Others,Strawberry And Cream Cheese (S),2,130,Cash,Physical
2024-05-29,Sandwich,Burger,1,20,Cash,Physical
2024-05-29,Shake,Smoothie (L),1,100,Cash,Physical
2024-05-29,Shake,Special Mango Shake With Boba (S),2,140,Cash,Physical
2024-05-29,Shake,Mango Graham Shake (S),1,65,Cash,Physical
2024-05-29,Sandwich,Ham Sandwich With Egg + Coleslaw,2,90,Gcash,Physical
2024-05-29,Sandwich,Cheeseburger With Ham,1,40,Cash,Physical
2024-05-29,Sandwich,Egg Sandwich,1,25,Gcash,Physical
2024-05-29,Sandwich,Ham Sandwich,1,27,Gcash,Physical
2024-05-29,Shake,Avocado Shake (S),4,200,Cash,Physical
2024-05-29,Shake,Smoothie (M),2,160,Cash,Physical
2024-05-29,Shake,Mango Shake (L),1,90,Gcash,Physical
2024-05-29,Sandwich,Cheeseburger,1,27,Cash,Physical
2024-05-29,Shake,Special Mango Shake With Boba (S),1,70,Cash,Physical
2024-05-30,Sandwich,Ham Sandwich With Egg And Cheese,3,135,Cash,Physical
2024-05-30,Shake,Smoothie (M),3,240,Cash,Delivered
2024-05-30,Shake,Special Mango Shake With Boba (S),1,70,Gcash,Physical
2024-05-30,Shake,Mango Shake (L),1,90,Gcash,Physical
2024-05-30,Shake,Avocado Shake (S),1,50,Cash,Physical
2024-05-30,Sandwich,Cheeseburger,5,135,Cash,Physical
2024-05-30,Shake,Mango Shake (S),5,250,Cash,Physical
2024-05-30,Shake,Mango Graham Shake (M),4,340,Cash,Physical
2024-05-30,Shake,Mango Graham Shake (L),3,315,Cash,Delivered
2024-05-30,Shake,Mango Shake (S),2,100,Cash,Physical
2024-05-30,Sandwich,Ham Sandwich With Egg And Cheese + Coleslaw,1,50,Cash,Physical
2024-05-30,Sandwich,Egg Sandwich,1,25,Cash,Physical
2024-05-30,Shake,Special Mango Shake With Boba (L),3,330,Cash,Physical
2024-05-30,Shake,Mango Graham Shake (L),1,105,Cash,Physical
2024-05-30,Shake,Smoothie (S),1,60,Cash,Physical
2024-05-30,Sandwich,Cheeseburger,1,27,Cash,Physical
2024-05-30,Shake,Mango Shake (M),2,140,Cash,Physical
2024-05-30,Shake,Avocado Shake (L),5,450,Cash,Physical
2024-05-30,Sandwich,Cheeseburger With Ham,3,120,Cash,Physical
2024-05-30,Sandwich,Cheeseburger,1,27,Cash,Physical
2024-05-30,Sandwich,Ham Sandwich With Egg And Cheese,1,45,Cash,Physical
2024-05-30,Shake,Mango Graham Shake (M),4,340,Cash,Physical
2024-05-30,Others,Popcorn,3,30,Cash,Physical
2024-05-30,Shake,Special Mango Shake With Boba (S),1,70,Cash,Physical
2024-05-30,Sandwich,Ham Sandwich With Egg And Cheese,2,90,Cash,Physical
2024-05-31,Sandwich,Burger,1,20,Cash,Physical
2024-05-31,Shake,Avocado Shake (L),1,90,Cash,Physical
2024-05-31,Sandwich,Ham Sandwich With Egg,5,200,Cash,Physical
2024-05-31,Shake,Avocado Shake (S),3,150,Cash,Physical
2024-05-31,Others,Popcorn,5,50,Cash,Physical
2024-05-31,Shake,Special Mango Shake With Boba (M),1,90,Cash,Physical
2024-05-31,Shake,Mango Graham Shake (L),1,105,Cash,Physical
2024-05-31,Sandwich,Burger With Ham,1,35,Cash,Physical
2024-05-31,Sandwich,Burger,5,100,Cash,Physical
2024-05-31,Sandwich,Egg Sandwich With Cheese,1,32,Cash,Physical
2024-05-31,Shake,Avocado Shake (S),1,50,Cash,Physical
2024-05-31,Sandwich,Egg Sandwich,2,50,Gcash,Physical
2024-05-31,Shake,Mango Shake (S),5,250,Cash,Physical
2024-05-31,Shake,Special Mango Shake With Boba (S),1,70,Cash,Physical
2024-05-31,Shake,Avocado Shake (L),4,360,Cash,Physical
2024-05-31,Sandwich,Burger With Ham + Coleslaw,1,40,Cash,Delivered
2024-05-31,Shake,Mango Shake (M),5,350,Cash,Delivered
2024-05-31,Shake,Special Mango Shake With Boba (M),1,90,Gcash,Physical
2024-05-31,Shake,Special Mango Shake With Boba (S),1,70,Cash,Physical
2024-05-31,Shake,Smoothie (M),4,320,Cash,Physical
2024-05-31,Shake,Smoothie (S),1,60,Cash,Physical
2024-05-31,Sandwich,Cheeseburger With Ham,1,40,Gcash,Physical
2024-05-31,Shake,Special Mango Shake With Boba (M),3,270,Cash,Physical
2024-05-31,Sandwich,Egg Sandwich With Cheese,4,128,Gcash,Physical
2024-05-31,Others,Strawberry And Cream Cheese (L),1,105,Cash,Physical
2024-05-31,Shake,Smoothie (L),1,100,Cash,Physical
2024-05-31,Shake,Special Mango Shake With Boba (S),1,70,Cash,Physical
2024-05-31,Shake,Avocado Shake (L),1,90,Cash,Physical
2024-05-31,Shake,Smoothie (S),1,60,Cash,Physical
2024-05-31,Sandwich,Cheeseburger With Egg,4,168,Cash,Physical
2024-05-31,Others,French Fries,3,75,Cash,Physical
2024-05-31,Sandwich,Ham Sandwich With Cheese,1,32,Cash,Delivered
2024-05-31,Shake,Smoothie (M),1,80,Cash,Physical
2024-06-01,Sandwich,Ham Sandwich With Egg,1,40,Cash,Physical
2024-06-01,Sandwich,Cheeseburger,1,27,Gcash,Physical
2024-06-01,Sandwich,Ham Sandwich With Egg,4,160,Gcash,Physical
2024-06-01,Shake,Avocado Shake (S),1,50,Gcash,Physical
2024-06-01,Shake,Special Mango Shake With Boba (S),1,70,Cash,Physical
2024-06-01,Sandwich,Egg Sandwich With Cheese,1,32,Cash,Physical
2024-06-01,Shake,Mango Graham Shake (S),5,325,Cash,Physical
2024-06-01,Shake,Smoothie (M),5,400,Cash,Physical
2024-06-01,Shake,Mango Graham Shake (M),1,85,Cash,Physical
2024-06-01,Sandwich,Cheeseburger,1,27,Cash,Physical
2024-06-01,Shake,Special Mango Shake With Boba (S),2,140,Gcash,Physical
2024-06-01,Sandwich,Ham Sandwich With Cheese,3,96,Cash,Physical
2024-06-01,Sandwich,Ham Sandwich With Cheese,1,32,Cash,Physical
2024-06-01,Shake,Mango Shake (S),5,250,Cash,Physical
2024-06-01,Shake,Avocado Shake (L),1,90,Cash,Physical
2024-06-01,Shake,Avocado Shake (L),1,90,Cash,Physical
2024-06-01,Others,Cheese Stick,1,2,Cash,Physical
2024-06-01,Shake,Smoothie (L),5,500,Cash,Physical
2024-06-01,Shake,Special Mango Shake With Boba (L),1,110,Cash,Physical
2024-06-01,Shake,Mango Shake (M),1,70,Cash,Physical
2024-06-01,Shake,Special Mango Shake With Boba (M),1,90,Cash,Physical
2024-06-01,Sandwich,Burger With Ham + Coleslaw,1,40,Cash,Physical
2024-06-01,Others,Cheese Stick,4,8,Gcash,Physical
2024-06-01,Shake,Mango Shake (S),1,50,Cash,Physical
2024-06-01,Shake,Mango Graham Shake (M),1,85,Cash,Physical
2024-06-01,Sandwich,Cheeseburger With Ham,1,40,Cash,Physical
2024-06-01,Shake,Special Mango Shake With Boba (S),1,70,Cash,Physical
2024-06-01,Shake,Avocado Shake (M),1,70,Cash,Physical
2024-06-01,Sandwich,Egg Sandwich With Cheese,1,32,Cash,Physical
2024-06-01,Shake,Mango Shake (M),1,70,Cash,Physical
2024-06-01,Shake,Smoothie (M),5,400,Cash,Physical
2024-06-01,Sandwich,Egg Sandwich,1,25,Cash,Physical
2024-06-01,Shake,Mango Shake (S),1,50,Cash,Physical
2024-06-01,Sandwich,Cheeseburger With Egg,1,42,Cash,Physical
2024-06-01,Sandwich,Ham Sandwich With Cheese,1,32,Cash,Physical
2024-06-01,Others,Cheese Stick,4,8,Cash,Physical
2024-06-01,Shake,Smoothie (S),1,60,Cash,Physical
2024-06-01,Shake,Avocado Shake (M),1,70,Cash,Physical
2024-06-01,Shake,Mango Shake (L),1,90,Gcash,Physical
2024-06-01,Sandwich,Ham Sandwich With Egg,2,80,Cash,Physical
2024-06-01,Shake,Avocado Shake (M),2,140,Cash,Physical
2024-06-01,Sandwich,Ham Sandwich With Cheese,1,32,Cash,Physical
2024-06-01,Sandwich,Cheeseburger With Egg,2,84,Cash,Physical
2024-06-02,Shake,Mango Graham Shake (L),5,525,Cash,Physical
2024-06-02,Shake,Mango Shake (S),5,250,Cash,Physical
2024-06-02,Shake,Avocado Shake (M),2,140,Cash,Physical
2024-06-02,Shake,Mango Graham Shake (S),1,65,Cash,Physical
2024-06-02,Shake,Smoothie (S),1,60,Gcash,Physical
2024-06-02,Others,French Fries,1,25,Cash,Physical
2024-06-02,Sandwich,Cheeseburger With Ham,1,40,Cash,Physical
2024-06-02,Shake,Mango Shake (M),1,70,Cash,Physical
2024-06-02,Shake,Mango Graham Shake (L),1,105,Cash,Delivered
2024-06-02,Shake,Mango Graham Shake (L),5,525,Cash,Physical
2024-06-02,Shake,Avocado Shake (S),3,150,Cash,Physical
2024-06-02,Others,Siomai,1,10,Cash,Physical
2024-06-02,Shake,Special Mango Shake With Boba (M),5,450,Cash,Delivered
2024-06-02,Shake,Mango Shake (M),1,70,Cash,Physical
2024-06-02,Shake,Smoothie (L),1,100,Gcash,Physical
2024-06-02,Sandwich,Ham Sandwich With Egg And Cheese,3,135,Cash,Physical
2024-06-02,Sandwich,Cheeseburger,1,27,Cash,Physical
2024-06-02,Shake,Mango Graham Shake (M),1,85,Cash,Physical
2024-06-02,Shake,Mango Graham Shake (S),1,65,Cash,Physical
2024-06-02,Shake,Mango Graham Shake (M),1,85,Cash,Physical
2024-06-02,Others,Strawberry And Cream Cheese (M),1,85,Cash,Delivered
2024-06-02,Shake,Mango Graham Shake (L),1,105,Cash,Physical
2024-06-02,Shake,Special Mango Shake With Boba (L),4,440,Cash,Physical
2024-06-02,Others,Cheese Stick,1,2,Cash,Delivered
2024-06-02,Sandwich,Cheeseburger With Ham,1,40,Cash,Physical
2024-06-02,Shake,Mango Graham Shake (L),1,105,Cash,Physical
2024-06-02,Sandwich,Ham Sandwich With Cheese + Coleslaw,1,37,Cash,Physical
2024-06-02,Others,All In,1,53,Cash,Physical
2024-06-02,Others,Popcorn,1,10,Cash,Physical
2024-06-02,Others,Cheese Stick,1,2,Cash,Physical
2024-06-02,Shake,Special Mango Shake With Boba (S),1,70,Cash,Physical
2024-06-02,Sandwich,Burger With Ham + Coleslaw,1,40,Cash,Physical
2024-06-02,Shake,Smoothie (S),2,120,Cash,Physical
2024-06-02,Sandwich,Ham Sandwich With Cheese + Coleslaw,1,37,Cash,Physical
2024-06-02,Shake,Mango Shake (L),1,90,Gcash,Physical
2024-06-02,Shake,Mango Shake (M),1,70,Cash,Physical
2024-06-02,Sandwich,Ham Sandwich With Cheese + Coleslaw,1,37,Cash,Physical
2024-06-02,Sandwich,Burger With Ham + Coleslaw,1,40,Cash,Physical
2024-06-02,Shake,Mango Graham Shake (M),4,340,Cash,Physical
2024-06-02,Shake,Mango Shake (L),1,90,Cash,Physical
2024-06-02,Shake,Mango Graham Shake (L),1,105,Cash,Physical
2024-06-02,Sandwich,Cheeseburger,3,81,Cash,Physical
2024-06-03,Sandwich,Ham Sandwich,1,27,Cash,Physical
2024-06-03,Sandwich,Ham Sandwich + Coleslaw,1,32,Cash,Physical
2024-06-03,Shake,Avocado Shake (S),1,50,Cash,Physical
2024-06-03,Sandwich,Egg Sandwich With Cheese,1,32,Cash,Physical
2024-06-03,Shake,Avocado Shake (L),5,450,Cash,Physical
2024-06-03,Sandwich,Cheeseburger With Egg,1,42,Cash,Physical
2024-06-03,Sandwich,Egg Sandwich With Cheese,1,32,Cash,Physical
2024-06-03,Sandwich,Egg Sandwich With Cheese + Coleslaw,1,37,Cash,Physical
2024-06-03,Shake,Avocado Shake (M),1,70,Cash,Physical
2024-06-03,Shake,Smoothie (S),4,240,Cash,Physical
2024-06-03,Shake,Avocado Shake (M),1,70,Gcash,Physical
2024-06-03,Shake,Mango Shake (L),1,90,Cash,Physical
2024-06-03,Shake,Special Mango Shake With Boba (L),1,110,Cash,Physical
2024-06-03,Shake,Special Mango Shake With Boba (M),4,360,Gcash,Physical
2024-06-03,Shake,Special Mango Shake With Boba (M),1,90,Cash,Physical
2024-06-03,Sandwich,Cheeseburger With Ham + Coleslaw,1,45,Cash,Physical
2024-06-03,Shake,Smoothie (L),1,100,Gcash,Physical
2024-06-03,Shake,Smoothie (M),1,80,Gcash,Physical
2024-06-03,Others,French Fries,1,25,Cash,Physical
2024-06-03,Shake,Special Mango Shake With Boba (M),2,180,Cash,Physical
2024-06-03,Sandwich,Egg Sandwich,3,75,Cash,Physical
2024-06-03,Shake,Avocado Shake (L),2,180,Cash,Delivered
2024-06-03,Shake,Special Mango Shake With Boba (S),1,70,Gcash,Physical
2024-06-03,Shake,Smoothie (S),2,120,Cash,Physical
2024-06-03,Sandwich,Ham Sandwich,1,27,Cash,Physical
2024-06-03,Shake,Special Mango Shake With Boba (S),1,70,Cash,Physical
2024-06-03,Sandwich,Burger + Coleslaw,1,25,Cash,Physical
2024-06-03,Shake,Avocado Shake (M),4,280,Cash,Physical
2024-06-03,Shake,Mango Shake (S),1,50,Cash,Physical
2024-06-03,Sandwich,Ham Sandwich,3,81,Cash,Physical
2024-06-03,Shake,Avocado Shake (S),3,150,Cash,Physical
2024-06-03,Sandwich,Egg Sandwich,1,25,Gcash,Physical
2024-06-04,Shake,Mango Graham Shake (L),1,105,Cash,Physical
2024-06-04,Sandwich,Ham Sandwich With Egg And Cheese,1,45,Cash,Physical
2024-06-04,Shake,Mango Graham Shake (M),1,85,Cash,Physical
2024-06-04,Others,Cheese Stick,3,6,Cash,Physical
2024-06-04,Shake,Smoothie (S),1,60,Cash,Physical
2024-06-04,Shake,Avocado Shake (S),3,150,Cash,Physical
