date,category,menu,quantity,total price,payment,mode,unit_price
2024-05-26,Shake,Smoothie (S),5,300,Cash,Physical,60.0
2024-05-26,Shake,Mango Graham Shake (L),1,105,Cash,Physical,105.0
2024-05-26,Sandwich,Cheeseburgerr With Ham,1,40,Cash,Physical,40.0
2024-05-26,Sandwich,Cheeseburgerr,1,27,Cash,Physical,27.0
2024-05-26,Shake,Smoothie (M),2,160,Cash,Physical,80.0
2024-05-26,Shake,Mango Graham Shake (M),1,85,Cash,Physical,85.0
2024-05-26,Shake,Mango Graham Shake (L),4,420,Cash,Physical,105.0
2024-05-26,Shake,Mango Graham Shake (S),1,65,Cash,Delivered,65.0
2024-05-26,Sandwich,Cheeseburgerr,2,54,Cash,Physical,27.0
2024-05-26,Shake,Smoothie (L),1,100,Cash,Physical,100.0
2024-05-26,Sandwich,Ham Sandwich,2,54,Cash,Physical,27.0
2024-05-26,Shake,Mango Graham Shake (S),1,65,Cash,Physical,65.0
2024-05-26,Sandwich,Ham Sandwich,3,81,Cash,Physical,27.0
2024-05-26,Shake,Special Mango Shake With Boba (M),2,180,Cash,Physical,90.0
2024-05-26,Sandwich,Burgerr + Coleslaw,3,75,Gcash,Delivered,25.0
2024-05-26,Others,French Fries,1,25,Cash,Physical,25.0
2024-05-26,Shake,Smoothie (M),1,80,Cash,Physical,80.0
2024-05-26,Shake,Special Mango Shake With Boba (S),1,70,Cash,Physical,70.0
2024-05-26,Sandwich,Cheeseburgerr With Ham,1,40,Cash,Physical,40.0
2024-05-26,Shake,Mango Shake (S),1,50,Cash,Physical,50.0
2024-05-26,Sandwich,Egg Sandwich With Cheese + Coleslaw,5,185,Cash,Physical,37.0
2024-05-26,Shake,Special Mango Shake With Boba (L),1,110,Cash,Physical,110.0
2024-05-26,Sandwich,Ham Sandwich + Coleslaw,5,160,Cash,Physical,32.0
2024-05-26,Shake,Mango Graham Shake (M),1,85,Cash,Physical,85.0
2024-05-26,Shake,Special Mango Shake With Boba (L),1,110,Cash,Physical,110.0
2024-05-26,Sandwich,Egg Sandwich,3,75,Cash,Physical,25.0
2024-05-27,Sandwich,Burgerr,1,20,Gcash,Physical,20.0
2024-05-27,Shake,Avocado Shake (L),1,90,Cash,Physical,90.0
2024-05-27,Shake,Mango Shake (L),1,90,Cash,Physical,90.0
2024-05-27,Sandwich,Ham Sandwich With Egg And Cheese + Coleslaw,1,50,Cash,Delivered,50.0
2024-05-27,Shake,Mango Graham Shake (L),1,105,Gcash,Physical,105.0
2024-05-27,Sandwich,Ham Sandwich With Cheese,1,32,Cash,Physical,32.0
2024-05-27,Sandwich,Cheeseburgerr With Egg,1,42,Cash,Physical,42.0
2024-05-27,Shake,Special Mango Shake With Boba (S),1,70,Cash,Physical,70.0
2024-05-27,Shake,Smoothie (M),3,240,Gcash,Physical,80.0
2024-05-27,Shake,Special Mango Shake With Boba (L),1,110,Cash,Physical,110.0
2024-05-27,Shake,Mango Graham Shake (L),1,105,Cash,Physical,105.0
2024-05-27,Shake,Smoothie (M),1,80,Cash,Physical,80.0
2024-05-27,Sandwich,Burgerr With Ham,1,35,Gcash,Physical,35.0
2024-05-27,Shake,Smoothie (L),4,400,Cash,Physical,100.0
2024-05-27,Sandwich,Cheeseburgerr,1,27,Cash,Physical,27.0
2024-05-27,Sandwich,Ham Sandwich With Cheese,1,32,Cash,Physical,32.0
2024-05-27,Sandwich,Cheeseburgerr,1,27,Cash,Physical,27.0
2024-05-27,Shake,Avocado Shake (M),1,70,Cash,Physical,70.0
2024-05-27,Shake,Smoothie (M),1,80,Cash,Physical,80.0
2024-05-27,Sandwich,Ham Sandwich With Egg And Cheese,3,135,Cash,Physical,45.0
2024-05-27,Shake,Special Mango Shake With Boba (M),5,450,Cash,Physical,90.0
2024-05-27,Shake,Avocado Shake (L),5,450,Cash,Physical,90.0
2024-05-27,Shake,Mango Graham Shake (S),3,195,Cash,Physical,65.0
2024-05-27,Shake,Mango Graham Shake (S),2,130,Cash,Physical,65.0
2024-05-27,Sandwich,Cheeseburgerr With Ham,1,40,Cash,Physical,40.0
2024-05-27,Shake,Mango Graham Shake (M),1,85,Cash,Physical,85.0
2024-05-28,Others,Siomai,1,10,Cash,Physical,10.0
2024-05-28,Others,Popcorn,1,10,Gcash,Physical,10.0
2024-05-28,Sandwich,Ham Sandwich With Egg And Cheese,1,45,Cash,Physical,45.0
2024-05-28,Sandwich,Cheeseburgerr With Ham,1,40,Cash,Physical,40.0
2024-05-28,Sandwich,Burgerr,1,20,Cash,Physical,20.0
2024-05-28,Sandwich,Cheeseburgerr With Ham + Coleslaw,2,90,Cash,Physical,45.0
2024-05-28,Sandwich,Cheeseburgerr With Ham + Coleslaw,1,45,Cash,Physical,45.0
2024-05-28,Shake,Avocado Shake (L),2,180,Cash,Physical,90.0
2024-05-28,Sandwich,Ham Sandwich With Cheese,1,32,Cash,Physical,32.0
2024-05-28,Shake,Avocado Shake (S),3,150,Gcash,Physical,50.0
2024-05-28,Sandwich,Ham Sandwich With Egg,1,40,Cash,Physical,40.0
2024-05-28,Sandwich,Ham Sandwich With Egg,1,40,Cash,Physical,40.0
2024-05-28,Shake,Avocado Shake (M),5,350,Cash,Physical,70.0
2024-05-28,Others,French Fries,2,50,Cash,Physical,25.0
2024-05-28,Shake,Mango Shake (M),1,70,Gcash,Physical,70.0
2024-05-28,Shake,Special Mango Shake With Boba (M),4,360,Cash,Physical,90.0
2024-05-28,Shake,Mango Graham Shake (L),1,105,Gcash,Physical,105.0
2024-05-28,Shake,Mango Graham Shake (M),1,85,Cash,Physical,85.0
2024-05-28,Shake,Avocado Shake (S),1,50,Cash,Physical,50.0
2024-05-28,Shake,Smoothie (L),1,100,Cash,Physical,100.0
2024-05-28,Shake,Mango Graham Shake (M),4,340,Cash,Physical,85.0
2024-05-28,Sandwich,Ham Sandwich With Cheese,1,32,Cash,Physical,32.0
2024-05-28,Shake,Avocado Shake (L),5,450,Cash,Physical,90.0
2024-05-28,Shake,Smoothie (M),1,80,Cash,Physical,80.0
2024-05-28,Sandwich,Ham Sandwich With Cheese,2,64,Cash,Physical,32.0
2024-05-28,Shake,Mango Shake (S),1,50,Cash,Physical,50.0
2024-05-28,Shake,Special Mango Shake With Boba (M),3,270,Cash,Physical,90.0
2024-05-28,Others,Strawberry And Cream Cheese (L),1,105,Cash,Physical,105.0
2024-05-28,Shake,Smoothie (L),4,400,Gcash,Physical,100.0
2024-05-28,Sandwich,Cheeseburgerr + Coleslaw,1,32,Cash,Physical,32.0
2024-05-28,Shake,Mango Graham Shake (L),1,105,Cash,Physical,105.0
2024-05-29,Others,Strawberry And Cream Cheese (S),2,130,Cash,Physical,65.0
2024-05-29,Sandwich,Egg Sandwich,1,25,Cash,Physical,25.0
2024-05-29,Sandwich,Ham Sandwich With Cheese,1,32,Cash,Delivered,32.0
2024-05-29,Shake,Mango Graham Shake (M),2,170,Cash,Physical,85.0
2024-05-29,Sandwich,Ham Sandwich + Coleslaw,5,160,Gcash,Physical,32.0
2024-05-29,Sandwich,Cheeseburgerr With Ham,5,200,Cash,Physical,40.0
2024-05-29,Shake,Smoothie (S),1,60,Gcash,Physical,60.0
2024-05-29,Sandwich,Burgerr,1,20,Cash,Physical,20.0
2024-05-29,Shake,Mango Shake (M),1,70,Gcash,Physical,70.0
2024-05-29,Shake,Smoothie (L),1,100,Cash,Physical,100.0
2024-05-29,Shake,Smoothie (M),2,160,Cash,Physical,80.0
2024-05-29,Shake,Mango Graham Shake (S),1,65,Cash,Physical,65.0
2024-05-29,Sandwich,Ham Sandwich With Egg + Coleslaw,2,90,Gcash,Physical,45.0
2024-05-29,Sandwich,Cheeseburgerr With Ham,1,40,Cash,Physical,40.0
2024-05-29,Sandwich,Egg Sandwich,1,25,Gcash,Physical,25.0
2024-05-29,Sandwich,Ham Sandwich,1,27,Gcash,Physical,27.0
2024-05-29,Shake,Avocado Shake (S),4,200,Cash,Physical,50.0
2024-05-29,Others,Strawberry And Cream Cheese (L),2,210,Cash,Physical,105.0
2024-05-29,Shake,Mango Shake (L),1,90,Gcash,Physical,90.0
2024-05-29,Sandwich,Cheeseburgerr,1,27,Cash,Physical,27.0
2024-05-29,Shake,Special Mango Shake With Boba (S),1,70,Cash,Physical,70.0
2024-05-29,Shake,Special Mango Shake With Boba (S),2,140,Cash,Physical,70.0
2024-05-29,Sandwich,Egg Sandwich,1,25,Gcash,Physical,25.0
2024-05-29,Others,Popcorn,1,10,Cash,Physical,10.0
2024-05-29,Shake,Mango Graham Shake (L),1,105,Cash,Physical,105.0
2024-05-29,Sandwich,Cheeseburgerr,1,27,Gcash,Physical,27.0
2024-05-29,Shake,Avocado Shake (L),1,90,Cash,Physical,90.0
2024-05-29,Shake,Smoothie (S),1,60,Cash,Physical,60.0
2024-05-29,Shake,Mango Graham Shake (L),1,105,Gcash,Physical,105.0
2024-05-29,Sandwich,Burgerr,1,20,Cash,Delivered,20.0
2024-05-29,Shake,Special Mango Shake With Boba (S),1,70,Cash,Physical,70.0
2024-05-29,Shake,Mango Graham Shake (S),1,65,Cash,Delivered,65.0
2024-05-29,Shake,Mango Shake (L),1,90,Gcash,Physical,90.0
2024-05-29,Sandwich,Ham Sandwich With Cheese,3,96,Cash,Physical,32.0
2024-05-29,Shake,Special Mango Shake With Boba (M),1,90,Cash,Physical,90.0
2024-05-29,Shake,Smoothie (L),1,100,Cash,Physical,100.0
2024-05-29,Sandwich,Cheeseburgerr With Egg + Coleslaw,1,47,Cash,Physical,47.0
2024-05-29,Shake,Smoothie (L),1,100,Cash,Delivered,100.0
2024-05-29,Shake,Smoothie (L),1,100,Cash,Physical,100.0
2024-05-29,Sandwich,Ham Sandwich With Egg And Cheese,1,45,Cash,Physical,45.0
2024-05-29,Others,Popcorn,1,10,Cash,Physical,10.0
2024-05-29,Others,Strawberry And Cream Cheese (M),1,85,Cash,Physical,85.0
2024-05-29,Sandwich,Burgerr With Ham,5,175,Cash,Physical,35.0
2024-05-29,Shake,Avocado Shake (M),1,70,Cash,Physical,70.0
2024-05-29,Sandwich,Burgerr,1,20,Cash,Physical,20.0
2024-05-29,Shake,Mango Shake (L),1,90,Cash,Physical,90.0
2024-05-29,Sandwich,Burgerr,1,20,Cash,Physical,20.0
2024-05-30,Sandwich,Cheeseburgerr,1,27,Cash,Physical,27.0
2024-05-30,Sandwich,Ham Sandwich With Egg And Cheese,2,90,Cash,Physical,45.0
2024-05-30,Shake,Mango Shake (M),2,140,Cash,Physical,70.0
2024-05-30,Shake,Avocado Shake (L),5,450,Cash,Physical,90.0
2024-05-30,Sandwich,Cheeseburgerr With Ham,3,120,Cash,Physical,40.0
2024-05-30,Shake,Special Mango Shake With Boba (S),1,70,Cash,Physical,70.0
2024-05-30,Sandwich,Ham Sandwich With Egg And Cheese,1,45,Cash,Physical,45.0
2024-05-30,Shake,Mango Graham Shake (M),4,340,Cash,Physical,85.0
2024-05-30,Others,Popcorn,3,30,Cash,Physical,10.0
2024-05-30,Shake,Smoothie (S),1,60,Cash,Physical,60.0
2024-05-30,Sandwich,Cheeseburgerr,1,27,Cash,Physical,27.0
2024-05-30,Shake,Mango Graham Shake (L),1,105,Cash,Physical,105.0
2024-05-30,Shake,Mango Graham Shake (L),3,315,Cash,Delivered,105.0
2024-05-30,Sandwich,Egg Sandwich,1,25,Cash,Physical,25.0
2024-05-30,Shake,Special Mango Shake With Boba (L),3,330,Cash,Physical,110.0
2024-05-30,Sandwich,Ham Sandwich With Egg And Cheese,3,135,Cash,Physical,45.0
2024-05-30,Shake,Smoothie (M),3,240,Cash,Delivered,80.0
2024-05-30,Shake,Mango Shake (L),1,90,Gcash,Physical,90.0
2024-05-30,Shake,Avocado Shake (S),1,50,Cash,Physical,50.0
2024-05-30,Shake,Special Mango Shake With Boba (S),1,70,Gcash,Physical,70.0
2024-05-30,Shake,Mango Shake (S),5,250,Cash,Physical,50.0
2024-05-30,Shake,Mango Graham Shake (M),4,340,Cash,Physical,85.0
2024-05-30,Shake,Mango Shake (S),2,100,Cash,Physical,50.0
2024-05-30,Sandwich,Ham Sandwich With Egg And Cheese + Coleslaw,1,50,Cash,Physical,50.0
2024-05-30,Sandwich,Cheeseburgerr,5,135,Cash,Physical,27.0
2024-05-31,Sandwich,Egg Sandwich With Cheese,4,128,Gcash,Physical,32.0
2024-05-31,Shake,Special Mango Shake With Boba (S),1,70,Cash,Physical,70.0
2024-05-31,Shake,Smoothie (M),4,320,Cash,Physical,80.0
2024-05-31,Sandwich,Cheeseburgerr With Ham,1,40,Gcash,Physical,40.0
2024-05-31,Shake,Special Mango Shake With Boba (M),3,270,Cash,Physical,90.0
2024-05-31,Others,Strawberry And Cream Cheese (L),1,105,Cash,Physical,105.0
2024-05-31,Others,French Fries,3,75,Cash,Physical,25.0
2024-05-31,Shake,Special Mango Shake With Boba (S),1,70,Cash,Physical,70.0
2024-05-31,Shake,Avocado Shake (L),1,90,Cash,Physical,90.0
2024-05-31,Shake,Smoothie (S),1,60,Cash,Physical,60.0
2024-05-31,Sandwich,Cheeseburgerr With Egg,4,168,Cash,Physical,42.0
2024-05-31,Shake,Special Mango Shake With Boba (M),1,90,Gcash,Physical,90.0
2024-05-31,Sandwich,Ham Sandwich With Cheese,1,32,Cash,Delivered,32.0
2024-05-31,Shake,Smoothie (M),1,80,Cash,Physical,80.0
2024-05-31,Shake,Smoothie (L),1,100,Cash,Physical,100.0
2024-05-31,Shake,Mango Shake (M),5,350,Cash,Delivered,70.0
2024-05-31,Shake,Smoothie (S),1,60,Cash,Physical,60.0
2024-05-31,Shake,Avocado Shake (L),4,360,Cash,Physical,90.0
2024-05-31,Sandwich,Burgerr With Ham + Coleslaw,1,40,Cash,Delivered,40.0
2024-05-31,Sandwich,Burgerr,1,20,Cash,Physical,20.0
2024-05-31,Shake,Avocado Shake (L),1,90,Cash,Physical,90.0
2024-05-31,Shake,Avocado Shake (S),3,150,Cash,Physical,50.0
2024-05-31,Others,Popcorn,5,50,Cash,Physical,10.0
2024-05-31,Shake,Special Mango Shake With Boba (M),1,90,Cash,Physical,90.0
2024-05-31,Shake,Mango Graham Shake (L),1,105,Cash,Physical,105.0
2024-05-31,Sandwich,Ham Sandwich With Egg,5,200,Cash,Physical,40.0
2024-05-31,Sandwich,Burgerr,5,100,Cash,Physical,20.0
2024-05-31,Sandwich,Egg Sandwich With Cheese,1,32,Cash,Physical,32.0
2024-05-31,Shake,Avocado Shake (S),1,50,Cash,Physical,50.0
2024-05-31,Sandwich,Egg Sandwich,2,50,Gcash,Physical,25.0
2024-05-31,Shake,Mango Shake (S),5,250,Cash,Physical,50.0
2024-05-31,Shake,Special Mango Shake With Boba (S),1,70,Cash,Physical,70.0
2024-05-31,Sandwich,Burgerr With Ham,1,35,Cash,Physical,35.0
2024-06-01,Shake,Smoothie (M),5,400,Cash,Physical,80.0
2024-06-01,Shake,Mango Shake (S),1,50,Cash,Physical,50.0
2024-06-01,Shake,Mango Graham Shake (M),1,85,Cash,Physical,85.0
2024-06-01,Sandwich,Cheeseburgerr With Ham,1,40,Cash,Physical,40.0
2024-06-01,Shake,Special Mango Shake With Boba (S),1,70,Cash,Physical,70.0
2024-06-01,Shake,Avocado Shake (M),1,70,Cash,Physical,70.0
2024-06-01,Sandwich,Egg Sandwich With Cheese,1,32,Cash,Physical,32.0
2024-06-01,Shake,Mango Shake (M),1,70,Cash,Physical,70.0
2024-06-01,Shake,Mango Shake (S),1,50,Cash,Physical,50.0
2024-06-01,Shake,Avocado Shake (M),2,140,Cash,Physical,70.0
2024-06-01,Sandwich,Ham Sandwich With Cheese,1,32,Cash,Physical,32.0
2024-06-01,Others,Cheese Stick,4,8,Cash,Physical,2.0
2024-06-01,Shake,Smoothie (S),1,60,Cash,Physical,60.0
2024-06-01,Shake,Avocado Shake (M),1,70,Cash,Physical,70.0
2024-06-01,Shake,Mango Shake (L),1,90,Gcash,Physical,90.0
2024-06-01,Sandwich,Ham Sandwich With Egg,2,80,Cash,Physical,40.0
2024-06-01,Sandwich,Ham Sandwich With Cheese,1,32,Cash,Physical,32.0
2024-06-01,Sandwich,Cheeseburgerr With Egg,2,84,Cash,Physical,42.0
2024-06-01,Others,Cheese Stick,4,8,Gcash,Physical,2.0
2024-06-01,Sandwich,Cheeseburgerr With Egg,1,42,Cash,Physical,42.0
2024-06-01,Sandwich,Burgerr With Ham + Coleslaw,1,40,Cash,Physical,40.0
2024-06-01,Sandwich,Egg Sandwich,1,25,Cash,Physical,25.0
2024-06-01,Shake,Mango Shake (M),1,70,Cash,Physical,70.0
2024-06-01,Sandwich,Cheeseburgerr,1,27,Gcash,Physical,27.0
2024-06-01,Sandwich,Ham Sandwich With Egg,4,160,Gcash,Physical,40.0
2024-06-01,Shake,Avocado Shake (S),1,50,Gcash,Physical,50.0
2024-06-01,Shake,Special Mango Shake With Boba (S),1,70,Cash,Physical,70.0
2024-06-01,Sandwich,Egg Sandwich With Cheese,1,32,Cash,Physical,32.0
2024-06-01,Shake,Mango Graham Shake (S),5,325,Cash,Physical,65.0
2024-06-01,Shake,Smoothie (M),5,400,Cash,Physical,80.0
2024-06-01,Shake,Mango Graham Shake (M),1,85,Cash,Physical,85.0
2024-06-01,Sandwich,Cheeseburgerr,1,27,Cash,Physical,27.0
2024-06-01,Sandwich,Ham Sandwich With Egg,1,40,Cash,Physical,40.0
2024-06-01,Shake,Special Mango Shake With Boba (M),1,90,Cash,Physical,90.0
2024-06-01,Sandwich,Ham Sandwich With Cheese,3,96,Cash,Physical,32.0
2024-06-01,Sandwich,Ham Sandwich With Cheese,1,32,Cash,Physical,32.0
2024-06-01,Shake,Mango Shake (S),5,250,Cash,Physical,50.0
2024-06-01,Shake,Avocado Shake (L),1,90,Cash,Physical,90.0
2024-06-01,Shake,Avocado Shake (L),1,90,Cash,Physical,90.0
2024-06-01,Others,Cheese Stick,1,2,Cash,Physical,2.0
2024-06-01,Shake,Smoothie (L),5,500,Cash,Physical,100.0
2024-06-01,Shake,Special Mango Shake With Boba (L),1,110,Cash,Physical,110.0
2024-06-01,Shake,Special Mango Shake With Boba (S),2,140,Gcash,Physical,70.0
2024-06-02,Others,Cheese Stick,1,2,Cash,Physical,2.0
2024-06-02,Others,Popcorn,1,10,Cash,Physical,10.0
2024-06-02,Others,All In,1,53,Cash,Physical,53.0
2024-06-02,Others,Cheese Stick,1,2,Cash,Delivered,2.0
2024-06-02,Shake,Mango Graham Shake (L),1,105,Cash,Physical,105.0
2024-06-02,Sandwich,Cheeseburgerr With Ham,1,40,Cash,Physical,40.0
2024-06-02,Shake,Special Mango Shake With Boba (S),1,70,Cash,Physical,70.0
2024-06-02,Sandwich,Ham Sandwich With Cheese + Coleslaw,1,37,Cash,Physical,37.0
2024-06-02,Sandwich,Burgerr With Ham + Coleslaw,1,40,Cash,Physical,40.0
2024-06-02,Sandwich,Ham Sandwich With Cheese + Coleslaw,1,37,Cash,Physical,37.0
2024-06-02,Sandwich,Ham Sandwich With Cheese + Coleslaw,1,37,Cash,Physical,37.0
2024-06-02,Shake,Mango Shake (L),1,90,Gcash,Physical,90.0
2024-06-02,Shake,Mango Shake (M),1,70,Cash,Physical,70.0
2024-06-02,Sandwich,Burgerr With Ham + Coleslaw,1,40,Cash,Physical,40.0
2024-06-02,Shake,Mango Graham Shake (M),4,340,Cash,Physical,85.0
2024-06-02,Shake,Mango Shake (L),1,90,Cash,Physical,90.0
2024-06-02,Shake,Mango Graham Shake (L),1,105,Cash,Physical,105.0
2024-06-02,Sandwich,Cheeseburgerr,3,81,Cash,Physical,27.0
2024-06-02,Shake,Special Mango Shake With Boba (L),4,440,Cash,Physical,110.0
2024-06-02,Shake,Smoothie (S),2,120,Cash,Physical,60.0
2024-06-02,Shake,Mango Graham Shake (L),1,105,Cash,Physical,105.0
2024-06-02,Shake,Mango Graham Shake (S),1,65,Cash,Physical,65.0
2024-06-02,Shake,Mango Graham Shake (M),1,85,Cash,Physical,85.0
2024-06-02,Shake,Mango Graham Shake (L),5,525,Cash,Physical,105.0
2024-06-02,Shake,Mango Shake (S),5,250,Cash,Physical,50.0
2024-06-02,Others,Strawberry And Cream Cheese (M),1,85,Cash,Delivered,85.0
2024-06-02,Shake,Mango Graham Shake (S),1,65,Cash,Physical,65.0
2024-06-02,Shake,Smoothie (S),1,60,Gcash,Physical,60.0
2024-06-02,Others,French Fries,1,25,Cash,Physical,25.0
2024-06-02,Sandwich,Cheeseburgerr With Ham,1,40,Cash,Physical,40.0
2024-06-02,Shake,Mango Shake (M),1,70,Cash,Physical,70.0
2024-06-02,Shake,Mango Graham Shake (L),1,105,Cash,Delivered,105.0
2024-06-02,Shake,Avocado Shake (M),2,140,Cash,Physical,70.0
2024-06-02,Shake,Avocado Shake (S),3,150,Cash,Physical,50.0
2024-06-02,Others,Siomai,1,10,Cash,Physical,10.0
2024-06-02,Shake,Special Mango Shake With Boba (M),5,450,Cash,Delivered,90.0
